,person,cantidad_sesiones,promedio_sesiones_sec,tiempo_total_sesiones_sec,samsung_vistos,iphone_vistos,motorola_vistos,total_marcas_vistas,%_vistos_samsung,%_vistos_motorola,%_vistos_iphone,modelos_vistos,modelos_distintos,sku_distintos,#Camino,compro,#pasos_antes_comprar,primera_actividad_ultimo_paso,ultima_actividad,primera_actividad,# Actividades,act_ult_30_dias,act_ult_20_dias,act_ult_15_dias,act_ult_5_dias,act_ult_1_dias,act_ult_25_dias,act_ult_10_dias,check_ult_30_dias,check_ult_25_dias,check_ult_20_dias,check_ult_15_dias,check_ult_10_dias,check_ult_5_dias,check_ult_1_dias,label
28132,9f715728,1,323.0,323.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,2.0,5.0,0,0,13,9,9,9,13,13.0,13.0,13.0,0.0,0.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
28147,9f85f3bf,17,1706.0,28997.0,256.0,32.0,4.0,292.0,0.8767123287671232,0.0136986301369863,0.1095890410958904,300.0,45.0,146.0,0,0,379,29,1,29,379,379.0,307.0,197.0,19.0,0.0,321.0,60.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28158,9f98e0ea,7,1044.0,7306.000000000001,2.0,2.0,5.0,9.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,15.0,9.0,12.0,0,0,81,71,0,71,81,39.0,39.0,39.0,39.0,31.0,39.0,39.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
28162,9f9d066f,1,2472.0,2472.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0,0,21,8,8,8,21,21.0,21.0,21.0,0.0,0.0,21.0,21.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
28167,9fa3ee4e,2,36.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,10,34,11,34,10,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28170,9fa9f960,4,250.00000000000003,998.0000000000001,1.0,8.0,0.0,9.0,0.1111111111111111,0.0,0.8888888888888888,9.0,5.0,9.0,0,0,40,58,4,58,40,13.0,13.0,10.0,10.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28186,9fbc9d91,7,311.0,2180.0,13.0,1.0,0.0,14.0,0.9285714285714286,0.0,0.07142857142857142,14.0,4.0,9.0,0,0,50,115,28,115,50,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28194,9fc34636,5,554.0,2768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,16.0,0,0,57,23,6,23,57,57.0,25.0,25.0,0.0,0.0,57.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
28195,9fc502eb,2,170.0,341.0,12.0,0.0,0.0,12.0,1.0,0.0,0.0,12.0,1.0,4.0,0,0,22,16,0,16,22,22.0,22.0,7.0,7.0,7.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28196,9fca071a,1,461.00000000000006,461.00000000000006,8.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,1.0,4.0,0,1,24,0,0,0,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28197,9fca071a,1,461.00000000000006,461.00000000000006,8.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,1.0,4.0,1,0,7,0,0,0,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28234,9ff66ecc,9,1346.0,12110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,16.0,63.0,0,1,159,7,0,7,159,159.0,159.0,159.0,32.0,10.0,159.0,159.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0
28237,9ffd8ebe,1,955.0000000000001,955.0000000000001,10.0,0.0,0.0,10.0,1.0,0.0,0.0,10.0,3.0,5.0,0,0,20,6,6,6,20,20.0,20.0,20.0,0.0,0.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
28265,a01b3dbf,13,685.0,8905.0,68.0,0.0,0.0,68.0,1.0,0.0,0.0,68.0,5.0,24.0,0,1,71,36,36,36,157,66.0,63.0,63.0,0.0,0.0,63.0,63.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
28266,a01b3dbf,13,685.0,8905.0,68.0,0.0,0.0,68.0,1.0,0.0,0.0,68.0,5.0,24.0,1,0,86,36,5,36,157,66.0,63.0,63.0,0.0,0.0,63.0,63.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
28288,a04a5cfc,3,1224.0,3671.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,10.0,0,1,38,2,2,2,42,42.0,42.0,42.0,42.0,0.0,42.0,42.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
28345,a09211f6,17,152.0,2577.0,23.0,23.0,1.0,47.0,0.48936170212765956,0.02127659574468085,0.48936170212765956,49.0,15.0,38.0,0,0,101,35,9,35,101,95.0,22.0,16.0,0.0,0.0,48.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28362,a09f12d2,7,233.00000000000003,1633.0,5.0,15.0,1.0,21.0,0.23809523809523808,0.047619047619047616,0.7142857142857143,21.0,7.0,10.0,0,0,53,9,3,9,53,53.0,53.0,53.0,3.0,0.0,53.0,53.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0
28380,a0b2e467,1,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,81,81,81,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28408,a0e6c6d4,7,1207.0,8451.0,41.0,3.0,0.0,44.0,0.9318181818181818,0.0,0.06818181818181818,44.0,20.0,31.0,0,1,38,15,15,15,123,123.0,123.0,85.0,0.0,0.0,123.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0
28415,a0f143aa,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,2,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
28439,a1182406,19,500.00000000000006,9499.0,22.0,327.0,39.0,388.0,0.05670103092783505,0.10051546391752578,0.8427835051546392,406.0,39.0,153.0,0,1,9,125,92,125,461,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28440,a1182406,19,500.00000000000006,9499.0,22.0,327.0,39.0,388.0,0.05670103092783505,0.10051546391752578,0.8427835051546392,406.0,39.0,153.0,1,1,1,92,92,125,461,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28441,a1182406,19,500.00000000000006,9499.0,22.0,327.0,39.0,388.0,0.05670103092783505,0.10051546391752578,0.8427835051546392,406.0,39.0,153.0,2,1,375,92,72,125,461,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28442,a1182406,19,500.00000000000006,9499.0,22.0,327.0,39.0,388.0,0.05670103092783505,0.10051546391752578,0.8427835051546392,406.0,39.0,153.0,3,0,76,71,0,125,461,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28449,a1266388,14,66.0,928.0000000000001,9.0,14.0,13.0,36.0,0.25,0.3611111111111111,0.3888888888888889,36.0,13.0,25.0,0,0,88,61,3,61,88,20.0,20.0,5.0,5.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28464,a143ba5b,14,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,8.0,0,0,44,74,0,74,44,10.0,10.0,10.0,10.0,7.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28467,a1563d88,7,263.0,1838.0000000000002,119.0,53.0,1.0,173.0,0.6878612716763006,0.005780346820809248,0.3063583815028902,173.0,23.0,90.0,0,0,198,24,3,24,198,198.0,136.0,38.0,24.0,0.0,198.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28481,a16bc220,2,242.00000000000003,485.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,7.0,0,0,32,2,2,2,32,32.0,32.0,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28486,a16f2d37,7,169.0,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,8.0,0,0,49,23,3,23,49,49.0,28.0,28.0,3.0,0.0,49.0,28.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
28520,a1b0d9e0,4,367.0,1467.0,11.0,1.0,1.0,13.0,0.8461538461538461,0.07692307692307693,0.07692307692307693,13.0,4.0,5.0,0,1,14,1,1,1,39,39.0,39.0,39.0,39.0,12.0,39.0,39.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
28521,a1b0d9e0,4,367.0,1467.0,11.0,1.0,1.0,13.0,0.8461538461538461,0.07692307692307693,0.07692307692307693,13.0,4.0,5.0,1,0,25,1,0,1,39,39.0,39.0,39.0,39.0,12.0,39.0,39.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
28537,a1bb5c36,1,1679.0,1679.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,0,1,27,2,2,2,29,29.0,29.0,29.0,29.0,0.0,29.0,29.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
28550,a1d1e7de,3,61.00000000000001,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0,0,12,26,0,26,12,12.0,4.0,4.0,4.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28564,a1ddb65f,5,163.0,815.0,6.0,9.0,0.0,15.0,0.4,0.0,0.6,15.0,2.0,10.0,0,0,45,14,1,14,45,45.0,45.0,45.0,16.0,0.0,45.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
28600,a20d70d4,1,1558.0,1558.0,8.0,3.0,0.0,11.0,0.7272727272727273,0.0,0.2727272727272727,15.0,4.0,10.0,0,0,40,102,102,102,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28609,a21475b3,14,848.0,11877.0,12.0,310.0,9.0,331.0,0.03625377643504532,0.027190332326283987,0.9365558912386707,331.0,18.0,102.0,0,0,395,72,0,72,395,355.0,188.0,188.0,128.0,32.0,355.0,188.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0
28637,a2262fb7,1,353.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,5.0,0,0,8,1,1,1,8,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28648,a2421c65,2,504.00000000000006,1007.0000000000001,14.0,23.0,0.0,37.0,0.3783783783783784,0.0,0.6216216216216216,37.0,10.0,25.0,0,0,50,1,0,1,50,50.0,50.0,50.0,50.0,45.0,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28692,a27e9214,3,2207.0,6620.0,2.0,42.0,0.0,44.0,0.045454545454545456,0.0,0.9545454545454546,44.0,6.0,28.0,0,0,69,0,0,0,69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28718,a2a4a31f,3,49.0,146.0,11.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,2.0,6.0,0,0,18,76,54,76,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28763,a2f3d7d3,7,1609.0,11262.0,14.0,14.0,15.0,43.0,0.32558139534883723,0.3488372093023256,0.32558139534883723,52.0,14.0,28.0,1,0,12,2,1,3,106,106.0,106.0,106.0,106.0,0.0,106.0,106.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
28772,a2f9e8a3,5,727.0,3634.0,8.0,1.0,21.0,30.0,0.26666666666666666,0.7,0.03333333333333333,30.0,8.0,15.0,0,0,53,70,24,70,53,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28794,a31ad9af,1,416.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0,14,12,12,12,14,14.0,14.0,14.0,0.0,0.0,14.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
28800,a32a2907,1,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,0,16,15,15,15,16,16.0,16.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
28805,a32e3f97,1,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,6,6,6,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28831,a3548a03,1,31.000000000000004,31.000000000000004,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0,0,5,7,7,7,5,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28838,a35f6b91,5,1822.0,9109.0,1.0,165.0,6.0,172.0,0.005813953488372093,0.03488372093023256,0.9593023255813954,182.0,20.0,90.0,0,1,129,9,9,9,229,229.0,229.0,229.0,52.0,0.0,229.0,229.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
28843,a36e6fdc,17,787.0,13381.0,79.0,8.0,5.0,92.0,0.8586956521739131,0.05434782608695652,0.08695652173913043,92.0,19.0,51.0,0,0,185,112,1,112,185,134.0,94.0,94.0,37.0,0.0,94.0,37.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0
28844,a36ec27c,3,160.0,480.00000000000006,1.0,0.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.0,3.0,2.0,2.0,0,0,19,66,65,66,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28913,a3cd4fbd,1,15.000000000000002,15.000000000000002,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,0,0,5,27,27,27,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28916,a3d262fe,3,1022.0000000000001,3067.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1,11,68,68,68,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28917,a3d262fe,3,1022.0000000000001,3067.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,2,68,68,68,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28918,a3d262fe,3,1022.0000000000001,3067.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2,0,5,68,67,68,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28921,a3d47626,1,1013.0000000000001,1013.0000000000001,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0,0,9,4,4,4,9,9.0,9.0,9.0,9.0,0.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
28939,a3f5d158,6,620.0,3718.0000000000005,21.0,0.0,5.0,26.0,0.8076923076923077,0.19230769230769232,0.0,26.0,7.0,15.0,0,0,62,7,0,7,62,62.0,62.0,62.0,39.0,23.0,62.0,62.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,1.0
28961,a410eb8b,32,112.0,3597.0,29.0,7.0,4.0,40.0,0.725,0.1,0.175,40.0,6.0,21.0,0,0,118,97,16,97,118,64.0,39.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
28971,a4208f1a,1,192.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,5,5,5,6,6.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28994,a44c5d53,4,162.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,0,0,34,2,0,2,34,34.0,34.0,34.0,34.0,5.0,34.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
29016,a4635685,16,324.0,5181.0,22.0,0.0,2.0,24.0,0.9166666666666666,0.08333333333333333,0.0,25.0,7.0,10.0,0,0,144,16,0,16,144,144.0,144.0,86.0,15.0,8.0,144.0,22.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0
29027,a4776a91,1,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,1,1,3,3.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
29029,a47aab5f,1,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,0,0,15,14,14,14,15,15.0,15.0,15.0,0.0,0.0,15.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
29033,a47e321a,1,48.0,48.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,2.0,4.0,0,0,10,38,38,38,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29035,a4849692,2,195.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0,0,12,3,1,3,12,12.0,12.0,12.0,12.0,0.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
29060,a4aa59fd,11,509.00000000000006,5596.0,46.0,1.0,0.0,47.0,0.9787234042553191,0.0,0.02127659574468085,47.0,3.0,12.0,0,1,97,93,71,93,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29061,a4aa59fd,11,509.00000000000006,5596.0,46.0,1.0,0.0,47.0,0.9787234042553191,0.0,0.02127659574468085,47.0,3.0,12.0,1,1,4,71,70,93,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29062,a4aa59fd,11,509.00000000000006,5596.0,46.0,1.0,0.0,47.0,0.9787234042553191,0.0,0.02127659574468085,47.0,3.0,12.0,2,0,10,70,64,93,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29070,a4c1c28e,1,600.0,600.0,4.0,7.0,0.0,11.0,0.36363636363636365,0.0,0.6363636363636364,11.0,6.0,9.0,0,0,27,15,15,15,27,27.0,27.0,0.0,0.0,0.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
29100,a4ea3774,1,294.0,294.0,2.0,1.0,0.0,3.0,0.6666666666666666,0.0,0.3333333333333333,4.0,3.0,4.0,0,0,12,7,7,7,12,12.0,12.0,12.0,0.0,0.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
29102,a4f0db7e,2,50.0,100.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0,0,9,25,25,25,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29130,a51ac94e,4,513.0,2053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,20.0,0,0,68,1,0,1,68,68.0,68.0,68.0,68.0,2.0,68.0,68.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
29148,a532a985,32,561.0,17950.0,121.0,29.0,45.0,195.0,0.6205128205128205,0.23076923076923078,0.14871794871794872,197.0,35.0,88.0,4,1,1,96,96,116,532,226.0,88.0,20.0,7.0,0.0,92.0,17.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
29224,a5a2f65e,4,1030.0,4119.0,7.0,87.0,0.0,94.0,0.07446808510638298,0.0,0.925531914893617,94.0,9.0,38.0,0,0,126,13,11,13,126,126.0,126.0,126.0,0.0,0.0,126.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
29265,a5e522e9,1,620.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,7.0,0,0,30,7,7,7,30,30.0,30.0,30.0,0.0,0.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
29275,a5f4babb,2,45.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,8,1,1,1,8,8.0,8.0,8.0,8.0,0.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
29282,a6003d7f,5,1998.0000000000002,9991.0,111.0,0.0,0.0,111.0,1.0,0.0,0.0,116.0,22.0,57.0,0,1,216,22,0,22,216,216.0,72.0,61.0,61.0,61.0,216.0,61.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
29331,a6561f11,4,820.0,3281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,2,1,2,3,3,40,36,32.0,32.0,32.0,3.0,0.0,32.0,32.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
29357,a6781a60,1,809.0,809.0,20.0,2.0,0.0,22.0,0.9090909090909091,0.0,0.09090909090909091,23.0,6.0,17.0,0,0,31,2,2,2,31,31.0,31.0,31.0,31.0,0.0,31.0,31.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
29370,a68ce54e,3,1098.0,3295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,5.0,28.0,0,0,87,16,9,16,87,87.0,87.0,27.0,0.0,0.0,87.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
29373,a694ac18,11,1117.0,12282.0,9.0,16.0,7.0,32.0,0.28125,0.21875,0.5,37.0,18.0,30.0,0,1,48,43,43,43,113,35.0,9.0,9.0,0.0,0.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29374,a694ac18,11,1117.0,12282.0,9.0,16.0,7.0,32.0,0.28125,0.21875,0.5,37.0,18.0,30.0,1,1,1,42,42,43,113,35.0,9.0,9.0,0.0,0.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29375,a694ac18,11,1117.0,12282.0,9.0,16.0,7.0,32.0,0.28125,0.21875,0.5,37.0,18.0,30.0,2,1,2,42,42,43,113,35.0,9.0,9.0,0.0,0.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29376,a694ac18,11,1117.0,12282.0,9.0,16.0,7.0,32.0,0.28125,0.21875,0.5,37.0,18.0,30.0,3,1,2,42,42,43,113,35.0,9.0,9.0,0.0,0.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29377,a694ac18,11,1117.0,12282.0,9.0,16.0,7.0,32.0,0.28125,0.21875,0.5,37.0,18.0,30.0,4,1,2,41,41,43,113,35.0,9.0,9.0,0.0,0.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29378,a694ac18,11,1117.0,12282.0,9.0,16.0,7.0,32.0,0.28125,0.21875,0.5,37.0,18.0,30.0,5,0,58,40,6,43,113,35.0,9.0,9.0,0.0,0.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29387,a69feede,1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,32,32,32,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29388,a6a12cca,6,52.0,311.0,10.0,0.0,0.0,10.0,1.0,0.0,0.0,10.0,3.0,7.0,0,0,29,15,2,15,29,29.0,29.0,23.0,4.0,0.0,29.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
29406,a6bbee3d,74,230.00000000000003,16983.0,246.0,26.0,0.0,272.0,0.9044117647058824,0.0,0.09558823529411764,272.0,10.0,54.0,0,1,102,91,75,91,675,292.0,194.0,140.0,38.0,23.0,258.0,82.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0
29407,a6bbee3d,74,230.00000000000003,16983.0,246.0,26.0,0.0,272.0,0.9044117647058824,0.0,0.09558823529411764,272.0,10.0,54.0,1,1,67,75,50,91,675,292.0,194.0,140.0,38.0,23.0,258.0,82.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0
29408,a6bbee3d,74,230.00000000000003,16983.0,246.0,26.0,0.0,272.0,0.9044117647058824,0.0,0.09558823529411764,272.0,10.0,54.0,2,1,1,50,50,91,675,292.0,194.0,140.0,38.0,23.0,258.0,82.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0
29409,a6bbee3d,74,230.00000000000003,16983.0,246.0,26.0,0.0,272.0,0.9044117647058824,0.0,0.09558823529411764,272.0,10.0,54.0,3,1,461,50,5,91,675,292.0,194.0,140.0,38.0,23.0,258.0,82.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0
29410,a6bbee3d,74,230.00000000000003,16983.0,246.0,26.0,0.0,272.0,0.9044117647058824,0.0,0.09558823529411764,272.0,10.0,54.0,4,1,2,5,5,91,675,292.0,194.0,140.0,38.0,23.0,258.0,82.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0
29411,a6bbee3d,74,230.00000000000003,16983.0,246.0,26.0,0.0,272.0,0.9044117647058824,0.0,0.09558823529411764,272.0,10.0,54.0,5,0,42,5,0,91,675,292.0,194.0,140.0,38.0,23.0,258.0,82.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0
29413,a6c031ba,5,849.0,4247.0,2.0,23.0,0.0,25.0,0.08,0.0,0.92,29.0,11.0,20.0,0,0,71,71,44,71,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29430,a6d6d38c,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,14,14,14,3,3.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
29432,a6d7a3c6,2,50.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,0,0,13,1,0,1,13,13.0,13.0,13.0,13.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
