,person,cant_sesiones_inac45MIN_ult_9999_dias,promedio_sesiones_sec_inac45MIN_ult_9999_dias,tiempo_total_sesiones_sec_inac45MIN_ult_9999_dias,cant_sesiones_inac45MIN_ult_30_dias,promedio_sesiones_sec_inac45MIN_ult_30_dias,tiempo_total_sesiones_sec_inac45MIN_ult_30_dias,cant_sesiones_inac45MIN_ult_25_dias,promedio_sesiones_sec_inac45MIN_ult_25_dias,tiempo_total_sesiones_sec_inac45MIN_ult_25_dias,cant_sesiones_inac45MIN_ult_20_dias,promedio_sesiones_sec_inac45MIN_ult_20_dias,tiempo_total_sesiones_sec_inac45MIN_ult_20_dias,cant_sesiones_inac45MIN_ult_15_dias,promedio_sesiones_sec_inac45MIN_ult_15_dias,tiempo_total_sesiones_sec_inac45MIN_ult_15_dias,cant_sesiones_inac45MIN_ult_10_dias,promedio_sesiones_sec_inac45MIN_ult_10_dias,tiempo_total_sesiones_sec_inac45MIN_ult_10_dias,cant_sesiones_inac45MIN_ult_5_dias,promedio_sesiones_sec_inac45MIN_ult_5_dias,tiempo_total_sesiones_sec_inac45MIN_ult_5_dias,cant_sesiones_inac45MIN_ult_1_dias,promedio_sesiones_sec_inac45MIN_ult_1_dias,tiempo_total_sesiones_sec_inac45MIN_ult_1_dias,samsung_vistos,iphone_vistos,motorola_vistos,total_marcas_vistas,%_vistos_samsung,%_vistos_motorola,%_vistos_iphone,modelos_vistos,modelos_distintos,sku_distintos,#Camino,compro,#pasos_antes_comprar,primera_actividad_ultimo_paso,ultima_actividad,primera_actividad,# Actividades,check_ult_9999_dias,check_ult_30_dias,check_ult_25_dias,check_ult_20_dias,check_ult_15_dias,check_ult_10_dias,check_ult_5_dias,check_ult_1_dias,act_ult_9999_dias,act_ult_30_dias,act_ult_25_dias,act_ult_20_dias,act_ult_15_dias,act_ult_10_dias,act_ult_5_dias,act_ult_1_dias,conv_ult_9999_dias,conv_ult_30_dias,conv_ult_25_dias,conv_ult_20_dias,conv_ult_15_dias,conv_ult_10_dias,conv_ult_5_dias,conv_ult_1_dias,mod_dist_check_ult_9999_dias,mod_dist_check_ult_30_dias,mod_dist_check_ult_25_dias,mod_dist_check_ult_20_dias,mod_dist_check_ult_15_dias,mod_dist_check_ult_10_dias,mod_dist_check_ult_5_dias,mod_dist_check_ult_1_dias,label
23242,99f653a0,1,2103.0,2103.0,1.0,2103.0,2103.0,1.0,2103.0,2103.0,1.0,2103.0,2103.0,1.0,2103.0,2103.0,1.0,2103.0,2103.0,1.0,2103.0,2103.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,0.14285714285714285,0.8571428571428571,0.0,7.0,3.0,4.0,0,0,17,1,1,1,17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,17,17.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
23261,9a15a1c1,2,4.0,8.0,2.0,4.0,8.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0,0,7,29,9,29,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23280,9a42871e,2,592.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.5,0.0,0.5,2.0,2.0,2.0,0,0,14,58,54,58,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23345,9aacd29f,11,917.0000000000001,10082.0,11.0,917.0000000000001,10082.0,11.0,917.0000000000001,10082.0,11.0,917.0000000000001,10082.0,7.0,884.0,6189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,28.0,0.9285714285714286,0.0,0.07142857142857142,28.0,5.0,11.0,2,0,9,12,10,15,58,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,58,58.0,58.0,58.0,29.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
23372,9adcc17a,6,1180.0,7083.0,2.0,864.0,1729.0,2.0,864.0,1729.0,1.0,843.0,843.0,1.0,843.0,843.0,1.0,843.0,843.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,194.0,11.0,241.0,0.14937759336099585,0.04564315352697095,0.8049792531120332,264.0,27.0,139.0,0,0,284,94,9,94,284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284,54.0,54.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23440,9b502e14,3,398.0,1194.0,3.0,398.0,1194.0,3.0,398.0,1194.0,3.0,398.0,1194.0,3.0,398.0,1194.0,3.0,398.0,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,9.0,6.0,8.0,0,0,34,6,6,6,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,34,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23473,9b8d001b,44,1374.0,60463.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,146.0,111.0,405.0,0.3654320987654321,0.2740740740740741,0.36049382716049383,480.0,58.0,204.0,5,0,182,59,49,80,825,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23496,9ba8e3c5,14,987.0000000000001,13812.0,14.0,987.0000000000001,13812.0,14.0,987.0000000000001,13812.0,14.0,987.0000000000001,13812.0,7.0,972.0000000000001,6802.0,4.0,143.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,5.0,18.0,163.0,0.8588957055214724,0.11042944785276074,0.03067484662576687,188.0,40.0,98.0,0,0,305,17,6,17,305,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,305,305.0,305.0,305.0,97.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
23504,9bb0f7dd,2,1597.0,3194.0,2.0,1597.0,3194.0,2.0,1597.0,3194.0,2.0,1597.0,3194.0,1.0,2815.0,2815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,9.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,12.0,8.0,11.0,0,0,30,15,13,15,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30.0,30.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23505,9bb3af27,4,371.0,1485.0,4.0,371.0,1485.0,4.0,371.0,1485.0,4.0,371.0,1485.0,4.0,371.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,17.0,0.9411764705882353,0.0,0.058823529411764705,17.0,9.0,12.0,0,0,59,14,13,14,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,59.0,59.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23509,9bba65dd,7,537.0,3760.0000000000005,2.0,169.0,338.0,2.0,169.0,338.0,1.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,33.0,9.0,49.0,0.14285714285714285,0.1836734693877551,0.673469387755102,49.0,9.0,33.0,0,0,69,77,15,77,69,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,69,21.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23528,9bd2fda3,1,33.0,33.0,1.0,33.0,33.0,1.0,33.0,33.0,1.0,33.0,33.0,1.0,33.0,33.0,1.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,6,6,6,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23530,9bd3f9bc,37,679.0,25125.0,11.0,683.0,7514.000000000001,11.0,683.0,7514.000000000001,6.0,663.0,3977.0000000000005,6.0,663.0,3977.0000000000005,4.0,667.0,2667.0,4.0,667.0,2667.0,0.0,0.0,0.0,86.0,241.0,0.0,327.0,0.26299694189602446,0.0,0.7370030581039755,327.0,18.0,89.0,3,0,505,96,1,105,558,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558,121.0,121.0,70.0,70.0,56.0,56.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23565,9c0c2956,4,208.0,834.0,4.0,208.0,834.0,4.0,208.0,834.0,4.0,208.0,834.0,4.0,208.0,834.0,2.0,386.0,773.0,1.0,755.0,755.0,0.0,0.0,0.0,3.0,14.0,0.0,17.0,0.17647058823529413,0.0,0.8235294117647058,17.0,3.0,7.0,0,0,25,13,4,13,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,25.0,25.0,25.0,25.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23569,9c11fd4c,3,2172.0,6517.0,3.0,2172.0,6517.0,3.0,2172.0,6517.0,3.0,2172.0,6517.0,3.0,2172.0,6517.0,1.0,5307.0,5307.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,2.0,56.0,127.0,0.5433070866141733,0.4409448818897638,0.015748031496062992,154.0,29.0,60.0,0,0,213,13,8,13,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213,213.0,213.0,213.0,213.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23572,9c16528f,1,17.0,17.0,1.0,17.0,17.0,1.0,17.0,17.0,1.0,17.0,17.0,1.0,17.0,17.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,8,8,8,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23594,9c3966bb,1,959.0000000000001,959.0000000000001,1.0,959.0000000000001,959.0000000000001,1.0,959.0000000000001,959.0000000000001,1.0,959.0000000000001,959.0000000000001,1.0,959.0000000000001,959.0000000000001,1.0,959.0000000000001,959.0000000000001,1.0,959.0000000000001,959.0000000000001,1.0,959.0000000000001,959.0000000000001,7.0,19.0,2.0,28.0,0.25,0.07142857142857142,0.6785714285714286,28.0,9.0,24.0,0,0,50,0,0,0,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23595,9c3d3783,4,563.0,2252.0,4.0,563.0,2252.0,4.0,563.0,2252.0,4.0,563.0,2252.0,4.0,563.0,2252.0,3.0,734.0,2203.0,2.0,526.0,1053.0,1.0,374.0,374.0,74.0,22.0,11.0,107.0,0.6915887850467289,0.102803738317757,0.205607476635514,108.0,17.0,56.0,0,0,124,13,0,13,124,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,124,124.0,124.0,124.0,124.0,119.0,63.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
23604,9c5428bc,1,379.0,379.0,1.0,379.0,379.0,1.0,379.0,379.0,1.0,379.0,379.0,1.0,379.0,379.0,1.0,379.0,379.0,1.0,379.0,379.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0,0,10,1,1,1,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23613,9c6290b1,3,1457.0,4370.0,3.0,1457.0,4370.0,3.0,1457.0,4370.0,3.0,1457.0,4370.0,3.0,1457.0,4370.0,3.0,1457.0,4370.0,3.0,1457.0,4370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,21.0,0,0,60,4,3,4,60,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,60,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
23642,9c8bc437,4,163.0,651.0,4.0,163.0,651.0,4.0,163.0,651.0,4.0,163.0,651.0,4.0,163.0,651.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,2.0,4.0,0,0,27,13,7,13,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,27.0,27.0,27.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23662,9cb6cb64,1,1799.0,1799.0,1.0,1799.0,1799.0,1.0,1799.0,1799.0,1.0,1799.0,1799.0,1.0,1799.0,1799.0,1.0,1799.0,1799.0,1.0,1799.0,1799.0,1.0,1799.0,1799.0,2.0,0.0,11.0,13.0,0.15384615384615385,0.8461538461538461,0.0,13.0,9.0,10.0,0,0,25,0,0,0,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23698,9cfc7f80,1,1270.0,1270.0,1.0,1270.0,1270.0,1.0,1270.0,1270.0,1.0,1270.0,1270.0,1.0,1270.0,1270.0,1.0,1270.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0,0,15,6,6,6,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23710,9d11b2e1,7,1393.0,9750.0,7.0,1393.0,9750.0,7.0,1393.0,9750.0,7.0,1393.0,9750.0,3.0,1278.0,3834.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,87.0,124.0,0.29838709677419356,0.7016129032258065,0.0,161.0,28.0,102.0,0,0,195,17,12,17,195,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,195,195.0,195.0,195.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
23729,9d34360c,3,1071.0,3213.0,3.0,1071.0,3213.0,3.0,1071.0,3213.0,3.0,1071.0,3213.0,1.0,731.0,731.0,1.0,731.0,731.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,9.0,0.7777777777777778,0.0,0.2222222222222222,9.0,2.0,5.0,0,0,21,15,6,15,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,21,21.0,21.0,21.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23736,9d42fe34,1,229.00000000000003,229.00000000000003,1.0,229.00000000000003,229.00000000000003,1.0,229.00000000000003,229.00000000000003,1.0,229.00000000000003,229.00000000000003,1.0,229.00000000000003,229.00000000000003,1.0,229.00000000000003,229.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,2.0,0,0,9,7,7,7,9,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,9,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23743,9d52ab5f,10,332.0,3325.0,6.0,295.0,1769.0,6.0,295.0,1769.0,6.0,295.0,1769.0,3.0,412.0,1237.0,3.0,412.0,1237.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,0.0,39.0,0.3333333333333333,0.0,0.6666666666666666,39.0,6.0,20.0,1,0,1,6,6,81,76,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,76,37.0,37.0,37.0,20.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23809,9db782a0,5,1800.0,9000.0,5.0,1800.0,9000.0,5.0,1800.0,9000.0,5.0,1800.0,9000.0,5.0,1800.0,9000.0,5.0,1800.0,9000.0,5.0,1800.0,9000.0,1.0,167.0,167.0,13.0,25.0,0.0,38.0,0.34210526315789475,0.0,0.6578947368421053,38.0,9.0,19.0,0,0,67,2,0,2,67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,67,67.0,67.0,67.0,67.0,67.0,67.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23820,9dccdfee,8,608.0,4861.0,8.0,608.0,4861.0,8.0,608.0,4861.0,8.0,608.0,4861.0,8.0,608.0,4861.0,8.0,608.0,4861.0,7.0,333.0,2330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,12.0,0,0,46,5,1,5,46,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,46,46.0,46.0,46.0,46.0,46.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23821,9dcd4be4,1,19.0,19.0,1.0,19.0,19.0,1.0,19.0,19.0,1.0,19.0,19.0,1.0,19.0,19.0,1.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,5,5,5,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23825,9dcfb536,1,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,0,0,9,54,54,54,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23849,9df69e34,1,1902.0000000000002,1902.0000000000002,1.0,1902.0000000000002,1902.0000000000002,1.0,1902.0000000000002,1902.0000000000002,1.0,1902.0000000000002,1902.0000000000002,1.0,1902.0000000000002,1902.0000000000002,1.0,1902.0000000000002,1902.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,7.0,1.0,1.0,1,1,1,6,6,6,26,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,26,26.0,26.0,26.0,26.0,26.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23853,9dff3025,4,184.0,736.0,4.0,184.0,736.0,4.0,184.0,736.0,4.0,184.0,736.0,4.0,184.0,736.0,4.0,184.0,736.0,4.0,184.0,736.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.8,0.0,0.2,5.0,4.0,5.0,0,0,17,3,1,3,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,17,17.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23870,9e160f67,19,769.0,14619.000000000002,4.0,474.00000000000006,1898.0000000000002,4.0,474.00000000000006,1898.0000000000002,2.0,196.0,392.0,1.0,273.0,273.0,1.0,273.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,79.0,16.0,108.0,0.12037037037037036,0.14814814814814814,0.7314814814814815,110.0,18.0,63.0,3,0,13,19,7,64,320,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,320,67.0,67.0,13.0,9.0,9.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23895,9e42dbf1,35,227.0,7941.000000000001,33.0,212.0,6991.0,33.0,212.0,6991.0,33.0,212.0,6991.0,20.0,146.0,2917.0,5.0,344.0,1722.0,1.0,185.0,185.0,0.0,0.0,0.0,89.0,203.0,85.0,377.0,0.23607427055702918,0.22546419098143236,0.5384615384615384,399.0,44.0,186.0,1,0,309,16,3,33,479,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,479,414.0,414.0,414.0,227.0,138.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0
23913,9e5b7a37,1,790.0,790.0,1.0,790.0,790.0,1.0,790.0,790.0,1.0,790.0,790.0,1.0,790.0,790.0,1.0,790.0,790.0,1.0,790.0,790.0,1.0,790.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,8,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23928,9e6ff614,3,43.0,128.0,3.0,43.0,128.0,2.0,47.0,94.0,2.0,47.0,94.0,1.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,0,0,13,26,12,26,13,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13,13.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23939,9e80af20,3,25.0,74.0,3.0,25.0,74.0,2.0,37.0,74.0,2.0,37.0,74.0,2.0,37.0,74.0,2.0,37.0,74.0,2.0,37.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0,0,12,29,1,29,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12,12.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23942,9e8567de,3,260.0,779.0,3.0,260.0,779.0,3.0,260.0,779.0,3.0,260.0,779.0,3.0,260.0,779.0,3.0,260.0,779.0,3.0,260.0,779.0,1.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,18.0,0,0,28,3,0,3,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28.0,28.0,28.0,28.0,28.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23954,9e9a9651,1,176.0,176.0,1.0,176.0,176.0,1.0,176.0,176.0,1.0,176.0,176.0,1.0,176.0,176.0,1.0,176.0,176.0,1.0,176.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,7.0,0,0,13,2,2,2,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
23960,9ea5dedf,2,264.0,528.0,2.0,264.0,528.0,2.0,264.0,528.0,1.0,441.0,441.0,1.0,441.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,0,0,24,23,14,23,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,24.0,24.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24007,9ee8b95d,12,243.00000000000003,2918.0,12.0,243.00000000000003,2918.0,12.0,243.00000000000003,2918.0,12.0,243.00000000000003,2918.0,12.0,243.00000000000003,2918.0,7.0,365.0,2553.0,2.0,1075.0,2150.0,0.0,0.0,0.0,22.0,1.0,0.0,23.0,0.9565217391304348,0.0,0.043478260869565216,23.0,7.0,12.0,0,0,50,11,1,11,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,50.0,50.0,50.0,50.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
